Failed to get ticker 'CVRD' reason: Failed to perform, curl: (28) Operation timed out after 10003 milliseconds with 0 bytes received. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
Total ETFs: 1000
MYHB: 41 rows OK
MYHC: 41 rows OK
Batch 34: inserted 7143 rows
MYHD: 42 rows OK
MYHE: 41 rows OK
MYLD: 500 rows OK
MYMF: 398 rows OK
MYMG: 397 rows OK
MYMH: 397 rows OK
MYMI: 398 rows OK
MYMJ: 398 rows OK
MYMK: 153 rows OK
MYY: 500 rows OK
MZZ: 500 rows OK
NACP: 500 rows OK
NAIL: 500 rows OK
NANC: 500 rows OK
NANR: 500 rows OK
NAPR: 500 rows OK
NATO: 385 rows OK
NAUG: 435 rows OK
NBCE: 500 rows OK
NBCM: 500 rows OK
Batch 35: inserted 8044 rows
NBCR: 435 rows OK
NBDS: 500 rows OK
NBET: 500 rows OK
NBFC: 461 rows OK
NBGX: 337 rows OK
NBIE: 35 rows OK
NBIG: 125 rows OK
NBIL: 139 rows OK
NBIZ: 66 rows OK
NBJP: 406 rows OK
NBOS: 500 rows OK
NBSD: 462 rows OK
NBSM: 500 rows OK
NBTR: 338 rows OK
NCIQ: 300 rows OK
NCLO: 343 rows OK
NCPB: 499 rows OK
NDAA: 380 rows OK
NDEC: 350 rows OK
NDIA: 500 rows OK
Batch 36: inserted 7176 rows
NDIV: 500 rows OK
NDOW: 489 rows OK
NEAR: 500 rows OK
NEBX: 159 rows OK
NEHI: 99 rows OK
NELS: 133 rows OK
NEMD: 178 rows OK
NEMG: 110 rows OK
NERD: 500 rows OK
NETG: 110 rows OK
NETL: 500 rows OK
NEWZ: 499 rows OK
NFEB: 309 rows OK
NFLP: 500 rows OK
NFLT: 500 rows OK
NFLU: 395 rows OK
NFLW: 215 rows OK
NFLY: 500 rows OK
NFRA: 500 rows OK
NFRX: 59 rows OK
Batch 37: inserted 6755 rows
NFTY: 500 rows OK
NFXL: 391 rows OK
NFXS: 391 rows OK
NGHT: 13 rows OK
NHYM: 316 rows OK
NIHI: 153 rows OK
NIKL: 500 rows OK
NIOG: 88 rows OK
NITE: 462 rows OK
NIXT: 408 rows OK
NJAN: 500 rows OK
NJNK: 411 rows OK
NJUL: 500 rows OK
NJUN: 476 rows OK
NLR: 500 rows OK
NLSI: 94 rows OK
NMAR: 290 rows OK
NMAY: 248 rows OK
NMB: 407 rows OK
NMBL: 120 rows OK
Batch 38: inserted 6768 rows
NNEX: 112 rows OK
NNOV: 370 rows OK
NOBL: 500 rows OK
NOCT: 500 rows OK
NODE: 239 rows OK
NOEQ: 25 rows OK
NORW: 500 rows OK
NOVM: 359 rows OK
NOVP: 250 rows OK
NOVZ: 500 rows OK
NOWL: 198 rows OK
NPFE: 33 rows OK
NPFI: 500 rows OK
NRES: 499 rows OK
NRGD: 297 rows OK
NRGU: 297 rows OK
NRSH: 500 rows OK
NSEP: 413 rows OK
NSI: 500 rows OK
NTSE: 500 rows OK
Batch 39: inserted 7092 rows
NTSI: 500 rows OK
NTSX: 500 rows OK
NUAG: 500 rows OK
NUBD: 500 rows OK
NUDM: 500 rows OK
NUDV: 500 rows OK
NUEM: 500 rows OK
NUG: 110 rows OK
NUGO: 500 rows OK
NUGT: 500 rows OK
NUGY: 109 rows OK
NUHY: 500 rows OK
NUKZ: 500 rows OK
NULC: 500 rows OK
