
ETF Sparkline Backfill
  Supabase: https://oqkobptbvcazifpvjwfz.supabase.co
  Period: 2y | Interval: 1d
  Batch size: 20 | Fetch delay: 0.5s

Found 1000 ETFs in foreign_etfs table

  [21/50] DIVO... 502 rows ✓
  [21/50] DIVP... 502 rows ✓
  [21/50] DIVS... 502 rows ✓
  [21/50] DIVY... 502 rows ✓
  [21/50] DIVZ... 502 rows ✓
  [21/50] DJAN... 502 rows ✓
  [21/50] DJD... 502 rows ✓
  [21/50] DJIA... 502 rows ✓
  → Inserted 9315 rows into foreign_etf_prices

  [22/50] DJP... 502 rows ✓
  [22/50] DJTU... 286 rows ✓
  [22/50] DJUL... 502 rows ✓
  [22/50] DJUN... 502 rows ✓
  [22/50] DKNX... 183 rows ✓
  [22/50] DLAG... 147 rows ✓
  [22/50] DLFE... 42 rows ✓
  [22/50] DLLL... 297 rows ✓
  [22/50] DLN... 502 rows ✓
  [22/50] DLNV... 102 rows ✓
  [22/50] DLS... 502 rows ✓
  [22/50] DMAR... 502 rows ✓
  [22/50] DMAX... 326 rows ✓
  [22/50] DMAY... 502 rows ✓
  [22/50] DMBS... 502 rows ✓
  [22/50] DMX... 346 rows ✓
  [22/50] DMXF... 502 rows ✓
  [22/50] DNL... 502 rows ✓
  [22/50] DNNG... 49 rows ✓
  [22/50] DNOV... 502 rows ✓
  → Inserted 7300 rows into foreign_etf_prices

  [23/50] DOCT... 502 rows ✓
  [23/50] DOG... 502 rows ✓
  [23/50] DOGD... 173 rows ✓
  [23/50] DOGG... 502 rows ✓
  [23/50] DOJE... 149 rows ✓
  [23/50] DOL... 502 rows ✓
  [23/50] DON... 502 rows ✓
  [23/50] DPST... 502 rows ✓
  [23/50] DRAI... 447 rows ✓
  [23/50] DRAM... 14 rows ✓
  [23/50] DRGN... 195 rows ✓
  [23/50] DRIP... 502 rows ✓
  [23/50] DRIV... 502 rows ✓
  [23/50] DRLL... 502 rows ✓
  [23/50] DRN... 502 rows ✓
  [23/50] DRNL... 36 rows ✓
  [23/50] DRNZ... 120 rows ✓
  [23/50] DRSK... 502 rows ✓
  [23/50] DRUP... 502 rows ✓
  [23/50] DRV... 502 rows ✓
  → Inserted 7660 rows into foreign_etf_prices

  [24/50] DSCO... 56 rows ✓
  [24/50] DSEP... 502 rows ✓
  [24/50] DSI... 502 rows ✓
  [24/50] DSMC... 502 rows ✓
  [24/50] DSPY... 265 rows ✓
  [24/50] DSTL... 502 rows ✓
  [24/50] DSTX... 502 rows ✓
  [24/50] DTAN... 405 rows ✓
  [24/50] DTCR... 502 rows ✓
  [24/50] DTD... 502 rows ✓
  [24/50] DTEC... 502 rows ✓
  [24/50] DTH... 502 rows ✓
  [24/50] DTRE... 502 rows ✓
  [24/50] DUBS... 502 rows ✓
  [24/50] DUG... 502 rows ✓
  [24/50] DUHP... 502 rows ✓
  [24/50] DUKH... 447 rows ✓
  [24/50] DUKQ... 447 rows ✓
  [24/50] DUKX... 447 rows ✓
  [24/50] DUKZ... 447 rows ✓
  → Inserted 9040 rows into foreign_etf_prices

  [25/50] DULL... 502 rows ✓
  [25/50] DUOG... 90 rows ✓
  [25/50] DURA... 502 rows ✓
  [25/50] DUSA... 502 rows ✓
  [25/50] DUSB... 502 rows ✓
  [25/50] DUSL... 502 rows ✓
  [25/50] DUST... 502 rows ✓
  [25/50] DUTY... 11 rows ✓
  [25/50] DVAL... 502 rows ✓
  [25/50] DVDN... 502 rows ✓
  [25/50] DVGR... 93 rows ✓
  [25/50] DVIN... 188 rows ✓
  [25/50] DVLU... 502 rows ✓
  [25/50] DVND... 502 rows ✓
  [25/50] DVOL... 502 rows ✓
  [25/50] DVQQ... 331 rows ✓
  [25/50] DVRE... 188 rows ✓
  [25/50] DVSP... 335 rows ✓
  [25/50] DVUT... 189 rows ✓
  [25/50] DVVY... 24 rows ✓
  → Inserted 6971 rows into foreign_etf_prices

  [26/50] DVXB... 188 rows ✓
  [26/50] DVXC... 188 rows ✓
  [26/50] DVXE... 189 rows ✓
  [26/50] DVXF... 188 rows ✓
  [26/50] DVXK... 188 rows ✓
  [26/50] DVXP... 187 rows ✓
  [26/50] DVXV... 188 rows ✓
  [26/50] DVXY... 188 rows ✓
  [26/50] DVY... 502 rows ✓
  [26/50] DVYA... 502 rows ✓
  [26/50] DVYE... 502 rows ✓
  [26/50] DWAS... 502 rows ✓
  [26/50] DWAW... 502 rows ✓
  [26/50] DWLD... 502 rows ✓
  [26/50] DWM... 502 rows ✓
  [26/50] DWMF... 502 rows ✓
  [26/50] DWSH... 502 rows ✓
  [26/50] DWUS... 502 rows ✓
  [26/50] DWX... 502 rows ✓
  [26/50] DXD... 502 rows ✓
  → Inserted 7528 rows into foreign_etf_prices

  [27/50] DXIV... 403 rows ✓
  [27/50] DXJ... 502 rows ✓
  [27/50] DXUV... 403 rows ✓
  [27/50] DYFI... 502 rows ✓
  [27/50] DYLD... 502 rows ✓
  [27/50] DYLG... 502 rows ✓
  [27/50] DYNB... 145 rows ✓
  [27/50] DYNF... 502 rows ✓
  [27/50] DYTA... 502 rows ✓
  [27/50] EAFG... 502 rows ✓
  [27/50] EAGG... 502 rows ✓
  [27/50] EAGL... 502 rows ✓
  [27/50] EALT... 502 rows ✓
